id,title,description,video,views
1,Whats Actually the Plane of the Future,Eastern Airlines 757 footage courtesy Eastern Airlines. United and Delta 757 takeoff footage courtesy PDX Aviation (CC license). 737 Max footage courtesy Boeing,ql0Op1VcELw,1137620
2,"How the US Government Will Survive Doomsday
","This video was partially based on the book ""Raven Rock"" by Garrett Graff",j48Z3W35FI0,756016
3,ABANDONED city in America with NO LAWS | Yes Theory,"A few months ago we went to visit the incredible abandoned city called Slab City. It used to be a military base but hundreds of squatters came and made it their home. We went with our friend Justin Escalona and truly had a fascinating experience. We thought the place would be hostile and dangerous when in fact it was inviting and beautiful (in its own way). Shout-outs to all the description readers out there you know we love you :)
",kUTYSyd3LR0,4018163
4,"People are Jerks Compilation
",Dont some people just get on your nerves.,eD61-gUTdLo,3238910
5,"Extreme Idiots || Extreme Fails Compilation 2017
",Epic Fails Extreme Funny Fails Compilation 2017 | TRY TO SURVIVE THIS LAUGH CHALLENGE,K0OnW8nKnKo,2574927
6,"This incredible animation shows how deep the ocean really is
",Just how deep does the ocean go? Way further than you think. This animation puts the actual distance into perspective showing a vast distance between the waves we see and the mysterious point we call Challenger Deep.,UwVNkfCov1k,15165050
7,"Top 10 Biggest Man-Made Structures
",Top 10 Biggest Man-Made Structures! Today we’re looking at ten of the biggest man-made structures in the world. Once humans decided that caves were a little 50000 BC we began to build bigger and better structures of our own; from huts to castles to palaces and now… well this is taking it too far actually!,5zLVvIbOCtA,245496
8,"8 Most Useful Gadgets on Amazon Under $15
",Todays feature presentation includes 8 brilliantly useful gadgets that are available on Amazon. These innovative little inventions are also reasonably affordable; under $15 a pop. Saddle up and dont forget your keys!,-4j3A6sAaBg,2049733
9,"15 FIDGET GADGETS ACTUALLY WORTH BUYING
","15 FIDGET GADGETS ACTUALLY WORTH BUYING
",zoCG_amCORM,933920
10,Punch Activated Arm Flamethrowers (Real Life Firebending) | Sufficiently Advanced,Legend of Korra: Turf Wars just came out! Theres a lot of Real Firebending videos on YT and they all suck. So I made punch activated arm flamethrowers and put them on a real kung fu master.,zoCG_amCORM,1456334
11,"How to Make a Real Rasengan! (Awesome Cosplay Prop)
",Heres a detailed look at Rasengan. Should I make more cool things and videos? Subscribe and let me know in the comments!,rGHK6yeuU5w,925460
12,Why Cities Are Where They Are,Thanks to Patreon Supporters: Praisethesun20 Iracha Tantiwongchaichan Brady Bellini Connor J Smith Plinio Correa Hank Green Maco2035 Victor Zimmer Maximillian van Kasbergen Dylan Benson Josh Berger Venkata Kaushik Nunna Lautaro Angelico,3PWWtqfwacQ,1669891
13,"The Rio Olympics were only a year ago but the venues look like theyve been deserted for decades
",Officials in Rio de Janeiro hoped hosting the 2016 Olympics would help make it a first-class city. Instead many buildings and stadiums made for the games have gone unused since the event ended.,jMgPEz29abI,257178
14,"Satisfying Video Youll Relax Watching
",This video will satisfying you and satisfy your mind. The satisfying video compilation is great in 2017 and is new. Very relaxing and satisfying video is what you can find here! Satisfying cakes satisfying jobs! This is the best satisfying video. You will be satisfied watching this.,tySfM7D3M6s,8914990
15,"Best trap for burglar (thieves)
",A shop owner set trap for a burglar! See what happens!! You must laugh!,fhkMyWU9cK8,3038075
16,"Instant Karma - Instant Justice!
",Instant Karma - Instant Justice!,TF4RevSuzD0,4055149
17,Kittens Swim Up To Fishermans Boat Looking for Help | The Dodo,Kittens Swim Up To Fishermans Boat Looking for Help | This guys were out in their boat when they saw the tiniest babies swimming towards them for help,3c4KhoCFxzA,3017195
18,Do sand FLEAS taste good??,Well do they? There are two types of sand fleas/sand crabs you can catch in the surf zone. Soft shell and hard shell. I love soft shell crab rolls at the sushi place so I thought why wouldnt soft shell sand crabs be as delicious?,K5q9y1k6rTM,834002
19,SQUISHIES vs REAL FOOD!!,Who gets the squishy toy and who gets the real food? Squishies vs Real Food is the best of both worlds!,1GD0EDaeNoA,4120111
20,FRIED GUMMY BEARS!!,The Eh Bee Family is a family of 4 starring Mama Bee Papa Bee Mr. Monkey and Miss Monkey! We post new videos 4-5 times a week!,Zmd78nnD5cM,829128
21,"Waffle Gets a Boop
","One little boop for Waffle the Kenyan sand boa.
",QXvxaBYRMLM,2310998
22,Bullfrog Dad Protects His Tadpoles,"The African bullfrog (Pyxicephalus adspersus) is the biggest frog in Africa and very aggressive. But in spite of that its a devoted father. Bullfrogs spawn in little pools around the margins of larger ponds and after mating is over one male stays to keep watch over the newly hatched tadpoles. If the pool begins to dry up the dutiful dad digs a channel to a new water source.
SHOW MORE
",l3uO2lO9JDk,6541000
23,Worlds Heaviest Weight,How do you measure big forces accurately? By calibrating your force transducer on the worlds biggest weight - 1000000 pounds of force. This machine ensures planes dont break apart jets provide required thrust and rockets make it to their destination.,_k9egfWvb7Y,4457618
24,"The Next Mission to Mars: Mars 2020
",In 2020 NASA will send a new rover to the Martian surface with one of its objectives to search for evidence of ancient life on the planet. I made this clip as a correspondent for Bill Nye Saves the World on Netflix.,iZCRFRgSgas,674476
25,"Ant Colony Time Lapse
",Ants are very busy little creatures!,9gbvbKUfHdU,2727489
26,CATS will make you LAUGH YOUR HEAD OFF - Funny CAT compilation,Cats are the funniest animals on the planet. Enjoy watching them!,hY7m5jjJ9mM,33467774
27,How To Make Pot Roast With Potatoes: Classic Pot Roast Recipe,Easy Classic pot roast recipe,xh7DonCBNq4,209620
28,What Is The Best Way To Cook Steak?,Make the best steak in the world,CnuFrNjAgyM,1682099
29,6 Surprising Kitchen Hacks,You never would have guessed these kitchen hacks,JbIX36wTs8g,8652
30,50 Famous Goals,These goals are impossible to forget in soccer,bKOTKHtbM54,2129023
31,Top 10 Penalty Saves by Outfield Players,The top ten craziest penalty saves by outfield players,eVsLHkscEV4,23457891
32,Top 10 Beautiful Moments Of Fair Play Penalties,Soccer can be a beautiful game when played with heart,ObnaoIA3tOo,14925791
33,Doomsday Prepping Tips,The end is near... are you ready?,HJbioLbDjEQ,95123
34,Ultimate Zombie Survival Kit: BattlBox Mission 8,This will help you survive a zombie attack FOR SURE,VuYdEEvQVR8,30995
35,Was the Moon Landing A HOAX?,Was The Moon Landing A HOAX? In this episode we will be describing the possibilities that maybe the moon landing was a hoax. Watch to find out!,jB32lAjqUFo,212335
36,What Is The Government Hiding From Us At Area 51?,What Is The Government Hiding From Us At Area 51? There are many theories as to why Area 51 is so secretive. What are they hiding from us? Watch to find out as we explore all of these theories.,H8jOR8xGRug,66257
37,What’s The Mystery Behind The Bermuda Triangle?,What’s The Mystery Behind The Bermuda Triangle? anyone who has flown over or gone through The Bermuda Triangle area people have been found dead or they just disappeared. Why does this happen? Lets take a look at all the possibilities.,D5cQ9zlXqOs,57869
38,What If Donald Trump Was Assassinated?,What If Donald Trump Was Assassinated? Would the world be a better place or would there be world wide cause. Watch as we talk about the possibilities of this happening.,yn0ryFXfAD4,617640
39,DIY Gallium Fidget Spinner,How to make a Fidget Spinner out of Gallium Liquid metal. Fun home made project to try use a Plasticine mold to cast your own fidget spinner,T1s0yts5bgk,35993061
40,Llamas with Hats 3,Viva La Resistance!,49j6_uk0g3k,13870800
41,Llamas with Hats 4,Carl made a mess and theres an imposter!,SJixW2u4IvQ,143763668
42,"Llamas with Hats 5
",Carl is a respected member of the community,71iZieJWmmk,4231945
43,"Llamas with Hats 6
",This is getting old..,kVzaBq4ycWg,2981409
44,Llamas with Hats 7,Its important to respect the arts..,4s9-sJwNz2c,2183650
45,The Duck Song,Song by Bryant Oden. Video by Forrest Whaley.,MtN1YnoL46Q,275353509
46,"Llamas with Hats 2
",Carl is full of questions..,ZpjyH-LkEAg,20372934
47,"Llamas with Hats
",Carl is under investigation... for murder?!,kZUPCB9533Y,39172722
48,"Charlie the Unicorn 2
",Why is there a magical unicorn portal inside of Charlie?,QFCSXr6qnv4,46980025
49,"Charlie the Unicorn
",Charlie and friends go to the mysterious Candy Mountain. Charlie t-shirts buttons and more:,CsGYh8AacgY,30327726
50,"The Zipf Mystery
",The of and to. A in is I. That it for you was with on. As have ... but be they.,fCn8zs912OE,10178492
